Player Name,Position,Team,Rookie,SFValue,Value
Eli Stowers,TE,PHI,Yes,3311,4043
Jaylen Warren,RB,PIT,No,3257,4031
Dalton Kincaid,TE,BUF,No,3231,3886
Jalen Coker,WR,CAR,No,3213,4030
Rhamondre Stevenson,RB,NEP,No,3211,3896
Xavier Worthy,WR,KCC,No,3202,3997
Oronde Gadsden,TE,LAC,No,3193,3883
2028 Early 2nd,PI,PICK,No,3191,3879
Jonah Coleman,RB,DEN,Yes,3172,4008
Rico Dowdle,RB,PIT,No,3152,3881
Jacory Croskey-Merritt,RB,WAS,No,3131,3854
Jake Ferguson,TE,DAL,No,3110,3728
2027 Late 2nd,PI,PICK,No,3110,3838
Romeo Doubs,WR,NEP,No,3105,3754
2026 Mid 2nd,PI,PICK,No,3092,3721
Courtland Sutton,WR,DEN,No,3067,3809
2028 Mid 2nd,PI,PICK,No,3010,3613
Chuba Hubbard,RB,CAR,No,3005,3730
Brenton Strange,TE,JAC,No,2995,3550
J.K. Dobbins,RB,DEN,No,2987,3727
Antonio Williams,WR,WAS,Yes,2986,3677
Ja'Kobi Lane,WR,BAL,Yes,2974,3614
Chris Godwin,WR,TBB,No,2966,3773
Nicholas Singleton,RB,TEN,Yes,2964,3673
Carson Beck,QB,ARI,Yes,2961,1016
Kenneth Gainwell,RB,TBB,No,2932,3593
Jalen McMillan,WR,TBB,No,2894,3561
Chris Bell,WR,MIA,Yes,2894,3603
Germie Bernard,WR,PIT,Yes,2882,3507
2026 Late 2nd,PI,PICK,No,2869,3546
Khalil Shakir,WR,BUF,No,2847,3550
Jordan Mason,RB,MIN,No,2843,3559
Tony Pollard,RB,TEN,No,2842,3527
Zachariah Branch,WR,ATL,Yes,2833,3546
2028 Late 2nd,PI,PICK,No,2826,3328
Jakobi Meyers,WR,JAC,No,2808,3575
Terrance Ferguson,TE,LAR,No,2793,3454
Rashid Shaheed,WR,SEA,No,2772,3497
Malachi Fields,WR,NYG,Yes,2765,3395
Chigoziem Okonkwo,TE,WAS,No,2757,3423
Rachaad White,RB,WAS,No,2747,3453
Tyler Allgeier,RB,ARI,No,2742,3404
Woody Marks,RB,HOU,No,2724,3369
Stefon Diggs,WR,WAS,No,2722,3383
Cyrus Allen,WR,KCC,Yes,2710,3014
Michael Penix Jr.,QB,ATL,No,2699,2716
Ted Hurst,WR,TBB,Yes,2687,3320
AJ Barner,TE,SEA,No,2680,3310
Tre Harris,WR,LAC,No,2677,3317
Braelon Allen,RB,NYJ,No,2668,3279
Keaton Mitchell,RB,LAC,No,2666,3285
Elijah Sarratt,WR,BAL,Yes,2666,3233
Malik Washington,WR,MIA,No,2663,3238
Dylan Sampson,RB,CLE,No,2646,3257
